train_02_24,"While two persons received bullet injuries , another man was injured in stone pelting .",0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,,0
train_08_33,"| Photo Credit : — Photo : Srinivas Kommuri July 14 , 2009 00:00 IST The TDP leader terms it an attempt on her life by the Daggubati couple TDP members were probing irregularities in wage payment under NRLEGP when they were mobbed Rajakumari demands Venkateswara Rao ’ s resignation from House , Purandeswari ’ s apology ONGOLE : Congress workers on Monday attacked TDP senior leader and MLC Nannapaneni Rajakumari with sticks and stones leaving her badly mauled at Karamchedu , native village of Union Minister of State Daggubati Purandeswari ’ s husband and Parchur MLA Venkateswara Rao .",1,1,2,train_08,,,,,,,,,,,,,,,,,,,,,1
train_09_B_21,"It is difficult to digest as to why they allow the labour unrest to continue for long , ” he added .",0,1,2,train_09,,,,,,,,,,,,,,,,,,,,,1
train_09_B_95,"She said the group had to be dispersed after the local police station was attacked by high school pupils , injuring three police officers , on Monday .",1,1,2,train_09,,,,,,,,,,,,,,,,,,,,,1
train_07_235,"Tamil Nadu witnessed high-voltage protests for days over the UNHRC resolution on Lanka , with political parties and students demanding that the Centre take a strong stand against what was being seen as “ genocide ’ ’ of ethnic Tamils .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,,0
train_05_88,"The protestors , however , split up into small groups and hid themselves on top of some houses in Nellikollai , Housing Board and Pudumannai areas and pelted stones indiscriminately at policemen .",0,0.5,2,train_05,,,,,,,,,,,,,,,,,,,,,0
train_02_189,"Naxal strike at jail as Gill makes first visit to Bastar - Indian Express Press Trust Of India , Press Trust Of India , Press Trust Of India , Press Trust Of India : Raipur , April 20 , Fri Apr 21 2006 , 01:47 hrs In the second such attack on Narayanpur jail this week , Naxalites triggered three landmine blasts at the prison last night but did not cause any damage , police sources said today .",0,1,3,train_02,,,,,,,,,,,,,,,,,,,,,1
train_08_134,He visited Morampalli Banjar village in Burgampad mandal today to extend support to the padayatra taken up by CPI for separate Telangana .,1,1,2,train_08,,,,,,,,,,,,,,,,,,,,,1
train_08_109,"Meanwhile , Suneelam again claimed that the farmers ' agitation was completely peaceful and had provided no provocation to the police to open fire on them .",1,1,2,train_08,,,,,,,,,,,,,,,,,,,,,0
train_08_30,"They also tried to blow up a Buddhist temple in Bronkhorstspruit , Gauteng .",0,1,2,train_08,,,,,,,,,,,,,,,,,,,,,1
train_03_290,"Dr Joshi said , “ The protest was to make the government realise the hazards of allowing stone crushers to function in an agriculturally rich area .",1,1,3,train_03,,,,,,,,,,,,,,,,,,,,,1
train_01_103,Protesters are angry at the police ’ s slow response to the attack in Yuen Long and their pursuit of the case .,1,1,3,train_01,,,,,,,,,,,,,,,,,,,,,0
train_03_101,"Initially , there was confusion on whether it was a cylinder blast , but the police confirmed that it was a bomb blast using high-intensity explosive .",0,1,3,train_03,,,,,,,,,,,,,,,,,,,,,0
train_04_30,T his was Mamata Banerjee ’ s third padayatra in the city .,0,1,3,train_04,,,,,,,,,,,,,,,,,,,,,1
train_05_19,Hundreds of members of the Police and Prisons Civil Rights Union gathered at the King Dinuzulu Gardens in Durban on Wednesday ahead of a march over salary grades on Wednesday .,1,1,2,train_05,,,,,,,,,,,,,,,,,,,,,0
train_02_265,"K D Pawar , Mohan Kate , Mohan Pawar , Dagdu Patil , Shankar Tadake , Trupti Desai , Ramesh Sharma , S B Repale , Kailash Mankar and Mangesh Patil , were among those who fasted on Thursday .",0,0.5,2,train_02,,,,,,,,,,,,,,,,,,,,,1
