index,text,label,agreement,num_votes,sample_set,0_arg0,0_arg1,0_sig0,0_sig1,0_sig2,1_arg0,1_arg1,1_sig0,1_sig1,1_sig2,2_arg0,2_arg1,2_sig0,2_sig1,2_sig2,3_arg0,3_arg1,3_sig0,3_sig1,3_sig2
train_06_63,IFP hotheads at the township entrance tried again to barricade the road and were removed by the police .,1,1,2,train_06
train_07_157,Main accused Dawood Ibrahim Kaskar and Tiger Memon have still not been brought to trial as they fled India hours after the blasts .,1,1,2,train_07
train_09_A_57,"Unlike the attacks on SPI Cinemas and Woodlands Theatre the previous nights , not even stray incidents of violence were reported .",0,1,3,train_09
train_05_117,"ANDHRA PRADESH Unusual day for IT , call centre employees June 06 , 2008 00:00 IST Harried lot : IT employees arguing with an autorickshaw driver for demanding double fare near Cyber Gateway as more than 25,000 cabs and private buses went off the road on Thursday .",1,1,2,train_05
train_03_206,Tens of thousands of pro-democracy protesters have marched across Hong Kong to mark the 20th anniversary of its return to Chinese control with a high-profile show of dissent .,1,1,3,train_03
train_04_129,"The TDP members , holding placards , raised slogans against the ‘ negligent ' attitude of the government in taking steps to protect the interests of farmers .",1,0.666666667,3,train_04
train_07_252,Violence over cut in water supply 04th December 2009 02:16 AM A boy holding an empty bucket participates along with others in a protest against water shortage in Mumbai India Thursday .,1,1,2,train_07
train_02_207,"According to sources , a large number of private buses remained off the road over the last couple of days .",0,1,3,train_02
train_09_A_161,Post offices wore a deserted look as members of the National Federation of Postal Employees and many other associations did not turn up for duty .,1,1,3,train_09
train_06_161,The village has been totally peaceful during the ongoing unrest in the Valley triggered by killing of 21 - year-old Hizbul Mujahideen commander Burhan Wani on July 8 .,1,0.5,2,train_06
train_05_177,"The incident took place around noon in Gaya district 's Uchla village near Sherghati , about 100 km from here , when Maoists blew up a patrolling vehicle of the Roshanganj police station .",1,1,2,train_05
train_08_313,Militants also killed two members of a policeman 's family and wounded two others when they barged into a house in the border district of Poonch and opened fire .,1,1,2,train_08
train_07_166,On Tuesday we went to picket at the Western Cape Provincial Legislature after we had gone over a month without teachers .,1,1,2,train_07
train_09_A_148,The impasse was broken after ADM Madhab Bariha promised to take steps over the issue within three days .,1,1,3,train_09
