index,text,label,agreement,num_votes,sample_set,0_arg0,0_arg1,0_sig0,0_sig1,0_sig2,1_arg0,1_arg1,1_sig0,1_sig1,1_sig2,2_arg0,2_arg1,2_sig0,2_sig1,2_sig2,3_arg0,3_arg1,3_sig0,3_sig1,3_sig2
train_05_83,The Pathankot incident too exposed how far the malignant cancer of corruption has spread .,1,1,2,train_05
train_07_105,The incident was condemned by leaders across political parties including by Tamil Nadu Congress Committee president B S Gnanadesikan and PMK leader S Ramadoss .,0,0.5,2,train_07
train_05_215,"Mapopane East plunged into darkness as Tshwane unrest continues Siphelele Dludla JOHANNESBURG , June 21 ( ANA ) - Eskom on Tuesday night said that a 33000 voltage transformer breaker at the Mapopane East electricity substation had tripped at around 6pm , plunging the volatile township in the City of Tshwane , Pretoria , into darkness .",1,1,2,train_05
train_05_101,"Suspicion and anger grow over activist 's death PUBLISHED : Tuesday , 11 January , 2011 , 12:00am The pair knelt shoulder to shoulder on the cold cement in front of about 30 fellow villagers in the Puqi county market square in Yueqing city , Zhejiang .",1,1,2,train_05
train_06_215,"In July , ANC councillor Wandile Mkhize was shot dead in a drive-by shooting near his home in Manaba , Margate .",0,1,2,train_06
train_08_258,"The hike in toll on the Mannuthy-Edappally stretch was withdrawn following protests by the Youth Congress , the BJP and the DYFI .",1,1,1,train_08
train_06_38,The residents told the CM that it was not the residents of the area who indulged in fighting .,0,0.5,2,train_06
train_03_281,"R. Subathra Devi , sub judge , presided over the human chain near the Government Arts College for Women .",0,1,3,train_03
train_08_225,"Soon after the heat and dust of the twin blasts settled , city policemen worked overtime to step up security arrangements all over the city and schools were among the most important establishments under the scanner .",1,1,2,train_08
train_09_A_83,"PUBLISHED : Friday , 30 January , 2009 , 12:00am Abode seekers demand action | South China Morning Post Donald Tsang More than 100 abode seekers and their parents yesterday marched to the government headquarters in Central and held a candle-light vigil to mark the 10th anniversary of a court ruling that allowed thousands of them to stay in the city .",1,0.666666667,3,train_09
train_01_12,It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,0,0.666666667,3,train_01
train_02_173,"A day after Mishra , succumbed to his wounds suffered of an assassin 's bullet at Bhagwati Hospital , under Dr D V Bhagat 's care , the latter continues to remain under police protection away from home .",0,0.666666667,3,train_02
train_02_282,"Four Fisheries Control and Parks officers were taken hostage after 15 armed poachers ambushed them at Hout Bay , SABC radio news reported on Wednesday .",0,1,3,train_02
train_06_175,"He said the municipality was responding to all the issues raised by the community which had led to the protest , and pleaded with them not to chase away municipal workers when they were in the area to provide services .",1,0.5,2,train_06
train_09_A_98,A local business was also set alight but police again managed to extinguish the fire before it did serious damage .,0,0.666666667,3,train_09
train_02_242,The incident was the fourth in a series of attacks carried out by militants in the city within a week .,0,1,3,train_02
